name,value,sign,magnitude,unit,uncertainty,is_dimensionless,sparse_signed_predicted,sparse_magnitude_predicted,sparse_relative_error_percent,sparse_log10_error,sparse_pass_1_percent,sparse_pass_0_1_percent,sparse_complexity,sparse_formula,exact_calibration_coefficient,exact_calibrated_predicted,exact_calibrated_relative_error_percent,status
atomic unit of electric dipole mom.,8.4783536198e-30,1,8.4783536198e-30,C m,1.3e-39,False,3.771190459990763e-25,3.771190459990763e-25,4447922.13861861,4.64816694014234,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,2.2481902491397285e-05,8.4783536198e-30,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of electric dipole moment,8.47835309e-30,1,8.47835309e-30,C m,7.3e-37,False,3.771190459990763e-25,3.771190459990763e-25,4447922.416569068,4.648166967280773,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,2.248190108653586e-05,8.47835309e-30,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of electric field,514220675112.0,1,514220675112.0,V m^-1,80.0,False,516942105988.34894,516942105988.34894,0.5292340444608137,0.002292373577202722,True,False,5,sign(1) * 1 * dict^3 * bip_density^-2,0.9947355209706785,514220675112.0,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of electric field gradient,9.7173624424e+21,1,9.7173624424e+21,V m^-2,3000000000000.0,False,1.004425214813485e+22,1.004425214813485e+22,3.363975643313715,0.014369205050660668,False,False,8,sign(1) * 1 * dict^3 * entropy^3 * total_bits^2,0.9674550478309575,9.7173624424e+21,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of electric polarizability,1.64877727212e-41,1,1.64877727212e-41,C^2 m^2 J^-1,5.1e-51,False,3.771190459990763e-25,3.771190459990763e-25,2.2872649470366372e+18,16.35931647434502,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,4.372033949523829e-17,1.64877727212e-41,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of electric polarizablity,1.648777274e-41,1,1.648777274e-41,C^2 m^2 J^-1,1.6e-49,False,3.771190459990763e-25,3.771190459990763e-25,2.2872649444286085e+18,16.35931647384982,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,4.372033954508992e-17,1.648777274e-41,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of electric potential,27.211386245981,1,27.211386245981,V,3e-11,False,27.162443621016806,27.162443621016806,0.17986082929318986,0.0007818289697173223,True,False,3,sign(1) * 1 * pi^-1 * bits^1 * bip_density^-1,1.0018018491136904,27.211386245981,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of electric quadrupole mom.,4.4865515185e-40,1,4.4865515185e-40,C m^2,1.4e-49,False,3.771190459990763e-25,3.771190459990763e-25,8.405543644022592e+16,14.924565807479691,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,1.1896910448036585e-15,4.4865515185e-40,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of electric quadrupole moment,4.48655124e-40,1,4.48655124e-40,C m^2,3.9e-47,False,3.771190459990763e-25,3.771190459990763e-25,8.405544165791717e+16,14.924565834438262,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,1.1896909709542989e-15,4.48655124e-40,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of energy,4.359744722206e-18,1,4.359744722206e-18,J,4.8e-30,False,4.287632120861194e-18,4.287632120861194e-18,1.6540555913172321,0.007243544816796123,False,False,7,sign(1) * 1 * dict^-3 * words^-1 * f1^-3,1.0168187473440053,4.359744722206e-18,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of force,8.2387235038e-08,1,8.2387235038e-08,N,1.3e-17,False,8.195638656616211e-08,8.195638656616211e-08,0.5229553724423093,0.00227712570416549,True,False,4,sign(1) * 1 * bits^1 * dict^-1 * entropy^-2,1.0052570457274868,8.2387235038e-08,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of length,5.29177210544e-11,1,5.29177210544e-11,m,8.2e-21,False,5.335702250401179e-11,5.335702250401179e-11,0.8301594264805611,0.0035904538695528824,True,False,5,sign(1) * 1 * bits^1 * dict^-3 * words^-1,0.9917667547963577,5.29177210544e-11,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of mag. dipole mom.,1.85480201315e-23,1,1.85480201315e-23,J T^-1,5.8e-33,False,6.1335069477956684e-24,6.1335069477956684e-24,66.93174309543062,0.4805886970330327,False,False,9,sign(1) * 1 * dict^-3 * entropy^-3 * f1^-3,3.0240481162519925,1.85480201315e-23,0.0,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
atomic unit of mag. flux density,235051.757077,1,235051.757077,T,7.3e-05,False,234849.49715065962,234849.49715065962,0.08604910205972649,0.0003738673798132451,True,True,4,sign(1) * 1 * dict^1 * checksum^2 * lnK^1,1.0008612321030885,235051.75707699996,1.238188168370069e-14,DIMENSIONAL_UNIT_DEPENDENT_LOOK_ELSEWHERE_FIT
