index,name,symbol_observed,symbol_prediction,symbol_calibration,unit,observed_value,sparse_prediction,exact_calibration_coefficient,exact_calibrated_value,exact_relative_error_percent,sympy_identity_passed,numeric_validation_passed,theorem_statement,calibration_definition,sparse_formula,proof_mode,physical_status
21,atomic unit of 1st hyperpolarizability,O_21_atomic_unit_of_1st_hyperpolarizability,P_21_atomic_unit_of_1st_hyperpolarizability,C_21_atomic_unit_of_1st_hyperpolarizability,C^3 m^3 J^-2,3.2063612996e-53,3.771190459990763e-25,8.50225236199779e-29,3.2063612996e-53,0.0,True,True,O_21_atomic_unit_of_1st_hyperpolarizability = P_21_atomic_unit_of_1st_hyperpolarizability * C_21_atomic_unit_of_1st_hyperpolarizability,C_21_atomic_unit_of_1st_hyperpolarizability := O_21_atomic_unit_of_1st_hyperpolarizability / P_21_atomic_unit_of_1st_hyperpolarizability,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
22,atomic unit of 1st hyperpolarizablity,O_22_atomic_unit_of_1st_hyperpolarizablity,P_22_atomic_unit_of_1st_hyperpolarizablity,C_22_atomic_unit_of_1st_hyperpolarizablity,C^3 m^3 J^-2,3.20636151e-53,3.771190459990763e-25,8.502252919911802e-29,3.20636151e-53,0.0,True,True,O_22_atomic_unit_of_1st_hyperpolarizablity = P_22_atomic_unit_of_1st_hyperpolarizablity * C_22_atomic_unit_of_1st_hyperpolarizablity,C_22_atomic_unit_of_1st_hyperpolarizablity := O_22_atomic_unit_of_1st_hyperpolarizablity / P_22_atomic_unit_of_1st_hyperpolarizablity,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
23,atomic unit of 2nd hyperpolarizability,O_23_atomic_unit_of_2nd_hyperpolarizability,P_23_atomic_unit_of_2nd_hyperpolarizability,C_23_atomic_unit_of_2nd_hyperpolarizability,C^4 m^4 J^-3,6.2353799735e-65,3.771190459990763e-25,1.6534248375021805e-40,6.2353799735e-65,0.0,True,True,O_23_atomic_unit_of_2nd_hyperpolarizability = P_23_atomic_unit_of_2nd_hyperpolarizability * C_23_atomic_unit_of_2nd_hyperpolarizability,C_23_atomic_unit_of_2nd_hyperpolarizability := O_23_atomic_unit_of_2nd_hyperpolarizability / P_23_atomic_unit_of_2nd_hyperpolarizability,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
24,atomic unit of 2nd hyperpolarizablity,O_24_atomic_unit_of_2nd_hyperpolarizablity,P_24_atomic_unit_of_2nd_hyperpolarizablity,C_24_atomic_unit_of_2nd_hyperpolarizablity,C^4 m^4 J^-3,6.2353808e-65,3.771190459990763e-25,1.6534250566637445e-40,6.2353808e-65,0.0,True,True,O_24_atomic_unit_of_2nd_hyperpolarizablity = P_24_atomic_unit_of_2nd_hyperpolarizablity * C_24_atomic_unit_of_2nd_hyperpolarizablity,C_24_atomic_unit_of_2nd_hyperpolarizablity := O_24_atomic_unit_of_2nd_hyperpolarizablity / P_24_atomic_unit_of_2nd_hyperpolarizablity,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
25,atomic unit of action,O_25_atomic_unit_of_action,P_25_atomic_unit_of_action,C_25_atomic_unit_of_action,J s,1.0545718176461565e-34,3.771190459990763e-25,2.796389704615289e-10,1.0545718176461565e-34,0.0,True,True,O_25_atomic_unit_of_action = P_25_atomic_unit_of_action * C_25_atomic_unit_of_action,C_25_atomic_unit_of_action := O_25_atomic_unit_of_action / P_25_atomic_unit_of_action,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
26,atomic unit of charge,O_26_atomic_unit_of_charge,P_26_atomic_unit_of_charge,C_26_atomic_unit_of_charge,C,1.602176634e-19,1.636097905766929e-19,0.9792669670639127,1.602176634e-19,0.0,True,True,O_26_atomic_unit_of_charge = P_26_atomic_unit_of_charge * C_26_atomic_unit_of_charge,C_26_atomic_unit_of_charge := O_26_atomic_unit_of_charge / P_26_atomic_unit_of_charge,sign(1) * 1 * dict^-3 * entropy^-2 * f1^-2,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
27,atomic unit of charge density,O_27_atomic_unit_of_charge_density,P_27_atomic_unit_of_charge_density,C_27_atomic_unit_of_charge_density,C m^-3,1081202386770.0,1092929302677.3477,0.9892701971860208,1081202386770.0,0.0,True,True,O_27_atomic_unit_of_charge_density = P_27_atomic_unit_of_charge_density * C_27_atomic_unit_of_charge_density,C_27_atomic_unit_of_charge_density := O_27_atomic_unit_of_charge_density / P_27_atomic_unit_of_charge_density,sign(1) * 1 * dict^2 * words^1 * f1^2,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
28,atomic unit of current,O_28_atomic_unit_of_current,P_28_atomic_unit_of_current,C_28_atomic_unit_of_current,A,0.0066236182375082,0.006631455962162306,0.9988180989666785,0.0066236182375082,0.0,True,True,O_28_atomic_unit_of_current = P_28_atomic_unit_of_current * C_28_atomic_unit_of_current,C_28_atomic_unit_of_current := O_28_atomic_unit_of_current / P_28_atomic_unit_of_current,sign(1) * 1 * pi^-1 * K^-1 * checksum^-1,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
29,atomic unit of electric dipole mom.,O_29_atomic_unit_of_electric_dipole_mom,P_29_atomic_unit_of_electric_dipole_mom,C_29_atomic_unit_of_electric_dipole_mom,C m,8.4783536198e-30,3.771190459990763e-25,2.2481902491397285e-05,8.4783536198e-30,0.0,True,True,O_29_atomic_unit_of_electric_dipole_mom = P_29_atomic_unit_of_electric_dipole_mom * C_29_atomic_unit_of_electric_dipole_mom,C_29_atomic_unit_of_electric_dipole_mom := O_29_atomic_unit_of_electric_dipole_mom / P_29_atomic_unit_of_electric_dipole_mom,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
30,atomic unit of electric dipole moment,O_30_atomic_unit_of_electric_dipole_moment,P_30_atomic_unit_of_electric_dipole_moment,C_30_atomic_unit_of_electric_dipole_moment,C m,8.47835309e-30,3.771190459990763e-25,2.248190108653586e-05,8.47835309e-30,0.0,True,True,O_30_atomic_unit_of_electric_dipole_moment = P_30_atomic_unit_of_electric_dipole_moment * C_30_atomic_unit_of_electric_dipole_moment,C_30_atomic_unit_of_electric_dipole_moment := O_30_atomic_unit_of_electric_dipole_moment / P_30_atomic_unit_of_electric_dipole_moment,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,DEFINITIONAL_SYMBOLIC_IDENTITY,CALIBRATED_FIT_NOT_NO_FIT_PHYSICS
