name,unit,sector,split,observed,sparse_prediction,exact_calibration_coefficient,exact_prediction,exact_relative_error_percent,predicted_calibration_coefficient,predictive_prediction,predictive_relative_error_percent,predictive_log10_error,predictive_pass_1_percent,predictive_pass_10_percent,sparse_formula,status
atomic unit of energy,J,quantum_atomic,test,4.359744722206e-18,4.287632120861194e-18,1.0168187473440053,4.359744722206e-18,0.0,0.0005355377101018437,2.2961886877651155e-21,99.94733203813357,3.278453487552708,False,False,sign(1) * 1 * dict^-3 * words^-1 * f1^-3,EXACT_SYMBOLIC_OK
atomic unit of force,N,quantum_atomic,train,8.2387235038e-08,8.195638656616211e-08,1.0052570457274868,8.2387235038e-08,0.0,0.005459729949518827,4.4745973828961776e-10,99.45688220015731,2.265105963646729,False,False,sign(1) * 1 * bits^1 * dict^-1 * entropy^-2,EXACT_SYMBOLIC_OK
atomic unit of length,m,quantum_atomic,train,5.29177210544e-11,5.335702250401179e-11,0.9917667547963577,5.29177210544e-11,0.0,0.21141048461792372,1.1280233985342594e-11,78.68344713154524,0.6712830243757043,False,False,sign(1) * 1 * bits^1 * dict^-3 * words^-1,EXACT_SYMBOLIC_OK
atomic unit of mag. dipole mom.,J T^-1,quantum_atomic,train,1.85480201315e-23,6.1335069477956684e-24,3.0240481162519925,1.85480201315e-23,0.0,0.002140482688506175,1.3128665441588976e-26,99.9292179685567,3.1500769772741246,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * f1^-3,EXACT_SYMBOLIC_OK
atomic unit of mag. flux density,T,quantum_atomic,train,235051.757077,234849.49715065962,1.0008612321030885,235051.75707699996,1.238188168370069e-14,0.5432654045095102,127585.60706840816,45.72020704928714,0.26536181761757655,False,False,sign(1) * 1 * dict^1 * checksum^2 * lnK^1,EXACT_SYMBOLIC_OK
atomic unit of magn. dipole moment,J T^-1,quantum_atomic,train,1.8548019e-23,6.1335069477956684e-24,3.0240479317735187,1.8548019e-23,0.0,0.002140482688506175,1.3128665441588976e-26,99.92921796423873,3.150076950780503,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * f1^-3,EXACT_SYMBOLIC_OK
atomic unit of magn. flux density,T,quantum_atomic,train,235051.757077,234849.49715065962,1.0008612321030885,235051.75707699996,1.238188168370069e-14,0.5432654045095102,127585.60706840816,45.72020704928714,0.26536181761757655,False,False,sign(1) * 1 * dict^1 * checksum^2 * lnK^1,EXACT_SYMBOLIC_OK
atomic unit of magnetizability,J T^-2,quantum_atomic,train,7.8910365794e-29,3.771190459990763e-25,0.0002092452413400337,7.8910365794e-29,0.0,2.632241516794909e-07,9.926684096528576e-32,99.87420304041622,2.900329855329119,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
atomic unit of mass,kg,quantum_atomic,test,9.1093837139e-31,3.771190459990763e-25,2.4155193991242523e-06,9.1093837139e-31,0.0,4.231464920891813e-08,1.5957660141452773e-32,98.2482173720377,1.7565197847737213,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * total_bits^-3,EXACT_SYMBOLIC_OK
atomic unit of mom.um,kg m s^-1,quantum_atomic,train,1.992851882e-24,5.592641446569509e-24,0.3563346409812134,1.992851882e-24,0.0,0.00014543903081839469,8.133883517038542e-28,99.95918470614646,3.389177072409542,False,False,sign(1) * 1 * dict^-3 * total_bits^-3 * f1^-3,EXACT_SYMBOLIC_OK
atomic unit of momentum,kg m s^-1,quantum_atomic,train,1.99285191545e-24,5.592641446569509e-24,0.35633464696228695,1.99285191545e-24,0.0,0.00014543903081839469,8.133883517038542e-28,99.95918470683155,3.389177079699171,False,False,sign(1) * 1 * dict^-3 * total_bits^-3 * f1^-3,EXACT_SYMBOLIC_OK
atomic unit of permittivity,F m^-1,quantum_atomic,test,1.1126500562e-10,1.1288758480187619e-10,0.9856265931747596,1.1126500562e-10,0.0,0.0036492630748656643,4.1195649482825314e-13,99.62975196690755,2.4315072399488598,False,False,sign(1) * 1 * dict^-2 * checksum^-1 * total_bits^-1,EXACT_SYMBOLIC_OK
atomic unit of time,s,quantum_atomic,train,2.4188843265864e-17,2.4671622769447922e-17,0.9804317896680159,2.4188843265864e-17,0.0,1.9028264683824988e-06,4.6945816823653835e-23,99.99980591954602,5.712018200596769,False,False,sign(1) * 1 * dict^-2 * words^-2 * entropy^-3,EXACT_SYMBOLIC_OK
atomic unit of velocity,m s^-1,quantum_atomic,train,2187691.26216,2196132.438887047,0.9961563444091173,2187691.26216,0.0,0.2699729284652717,592896.3058239155,72.8985384693394,0.5670072878124689,False,False,sign(1) * 1 * pi^1 * K^-1 * dict^2,EXACT_SYMBOLIC_OK
Avogadro constant,mol^-1,general_dimensional,train,6.02214076e+23,1.7880638506038924e+23,3.3679674011451604,6.02214076e+23,0.0,833.0872902081261,1.4896132680187044e+26,24635.610265255647,2.393322629540046,False,False,sign(1) * 1 * dict^3 * total_bits^3 * f1^3,EXACT_SYMBOLIC_OK
Bohr magneton,J T^-1,quantum_atomic,train,9.2740100657e-24,6.1335069477956684e-24,1.5120240581178443,9.2740100657e-24,0.0,0.002140482688506175,1.3128665441588976e-26,99.85843593711262,2.8490469816078017,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * f1^-3,EXACT_SYMBOLIC_OK
Bohr magneton in eV/T,eV T^-1,quantum_atomic,test,5.7883817982e-05,5.739210284664831e-05,1.008567644518368,5.788381798200001e-05,1.1706663130171548e-14,0.005743826867192521,3.2965030229525496e-07,99.43049661582835,2.2445036908601894,False,False,sign(1) * 1 * K^-1 * bits^-1 * total_bits^-1,EXACT_SYMBOLIC_OK
Bohr magneton in Hz/T,Hz T^-1,quantum_atomic,train,13996244917.1,13985253560.803629,1.0007859247062332,13996244917.1,0.0,2.5656362954344876,35881074136.4522,156.36214819743742,0.40885390211621175,False,False,sign(1) * 1 * dict^1 * entropy^2 * f1^1,EXACT_SYMBOLIC_OK
Bohr magneton in inverse meter per tesla,m^-1 T^-1,quantum_atomic,train,46.686447719,46.54545454545455,1.0030291502128905,46.68644771899999,1.521946454433136e-14,0.2855024174506482,13.288839794066535,71.53598004703542,0.5457037648243935,False,False,sign(1) * 1 * K^1 * bip_density^-1,EXACT_SYMBOLIC_OK
Bohr magneton in inverse meters per tesla,m^-1 T^-1,quantum_atomic,train,46.68644814,46.54545454545455,1.0030291592578124,46.686448139999996,1.5219464407088223e-14,0.2855024174506482,13.288839794066535,71.53598030371275,0.5457037687406903,False,False,sign(1) * 1 * K^1 * bip_density^-1,EXACT_SYMBOLIC_OK
Bohr magneton in K/T,K T^-1,quantum_atomic,test,0.67171381472,0.6719203983657199,0.9996925474413005,0.67171381472,0.0,0.05478221944828431,0.036809290715049486,94.52009324381795,1.2612268312273331,False,False,sign(1) * 1 * checksum^-1 * lnK^1 * U^1,EXACT_SYMBOLIC_OK
Bohr radius,m,quantum_atomic,train,5.29177210544e-11,5.335702250401179e-11,0.9917667547963577,5.29177210544e-11,0.0,0.21141048461792372,1.1280233985342594e-11,78.68344713154524,0.6712830243757043,False,False,sign(1) * 1 * bits^1 * dict^-3 * words^-1,EXACT_SYMBOLIC_OK
Boltzmann constant,J K^-1,thermodynamic_statistical,train,1.380649e-23,6.1335069477956684e-24,2.2509944339366794,1.380649e-23,0.0,6.559432953137266e-05,4.023232759166728e-28,99.99708598437462,4.535508123808796,False,False,sign(1) * 1 * dict^-3 * entropy^-3 * f1^-3,EXACT_SYMBOLIC_OK
Boltzmann constant in eV/K,eV K^-1,thermodynamic_statistical,train,8.617333262145179e-05,8.608815426997245e-05,1.000989431730784,8.617333262145179e-05,0.0,0.3528421816317747,3.0375532165269862e-05,64.75065865363985,0.45284899363183795,False,False,sign(1) * 1 * K^1 * total_bits^-2,EXACT_SYMBOLIC_OK
Boltzmann constant in Hz/K,Hz K^-1,thermodynamic_statistical,test,20836619123.327576,20847699113.757366,0.9994685269405832,20836619123.327576,0.0,33.301563182660075,694260969249.8774,3231.9271477809925,1.5226954970376907,False,False,sign(1) * 1 * pi^-1 * dict^3 * lnDict^1,EXACT_SYMBOLIC_OK
Boltzmann constant in inverse meter per kelvin,m^-1 K^-1,thermodynamic_statistical,train,69.50348004861274,69.81928299509865,0.995476852053779,69.50348004861274,0.0,2.346020573361201,163.79747432382928,135.66801865066984,0.37230065055181116,False,False,sign(1) * 1 * bits^-1 * entropy^1 * U^1,EXACT_SYMBOLIC_OK
Boltzmann constant in inverse meters per kelvin,m^-1 K^-1,thermodynamic_statistical,train,69.503457,69.81928299509865,0.995476521935626,69.503457,0.0,2.346020573361201,163.79747432382928,135.66809680247889,0.37230079457175064,False,False,sign(1) * 1 * bits^-1 * entropy^1 * U^1,EXACT_SYMBOLIC_OK
characteristic impedance of vacuum,ohm,relativity_gravity,train,376.730313412,374.34375,1.006375325919025,376.730313412,0.0,0.13143656594775083,49.20245698400335,86.9396076630036,0.8840437765652878,False,False,sign(1) * 1 * bits^1 * total_bits^1 * bip_density^1,EXACT_SYMBOLIC_OK
classical electron radius,m,lepton_particle,train,2.8179403205e-15,2.8070381400908017e-15,1.0038838732732165,2.8179403205e-15,0.0,0.6399358710517009,1.796324397254354e-15,36.25399430263222,0.19554702278324726,False,False,sign(1) * 1 * dict^-3 * words^-3 * U^-1,EXACT_SYMBOLIC_OK
Compton wavelength,m,quantum_atomic,train,2.42631023538e-12,2.4253192047278085e-12,1.0004086186470877,2.4263102353800004e-12,1.6646543281383026e-14,0.11156632528706265,2.705839513196228e-13,88.84792441733053,0.9526442958255998,False,False,sign(1) * 1 * K^-1 * dict^-3 * checksum^-1,EXACT_SYMBOLIC_OK
Compton wavelength over 2 pi,m,quantum_atomic,train,3.8615926764e-13,3.724102080675221e-13,1.0369191264756765,3.8615926763999993e-13,1.3074164513180026e-14,0.07572897397690545,2.8202242955479324e-14,92.69673284605172,1.1364828125499158,False,False,sign(1) * 1 * dict^-3 * U^-1 * f1^-1,EXACT_SYMBOLIC_OK
conductance quantum,S,general_dimensional,test,7.748091729863649e-05,7.891414141414141e-05,0.9818381840083217,7.748091729863649e-05,0.0,0.15632756595210542,1.2336455646472965e-05,84.07807228336716,0.7980043520497769,False,False,sign(1) * 1 * K^-1 * checksum^-1 * total_bits^-1,EXACT_SYMBOLIC_OK
conventional value of ampere-90,A,general_dimensional,train,1.0000000888714378,1.0,1.0000000888714378,1.0000000888714378,0.0,7.072867695728458,7.072867695728458,607.2867067152592,0.8495954956980815,False,False,sign(1) * 1 * 1,EXACT_SYMBOLIC_OK
conventional value of coulomb-90,C,general_dimensional,test,1.0000000888714378,1.0,1.0000000888714378,1.0000000888714378,0.0,53.306315418371526,53.306315418371526,5230.631068096305,1.7267786261313385,False,False,sign(1) * 1 * 1,EXACT_SYMBOLIC_OK
